City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Nabire,-3.3667,135.4833,75.76,91,100,4.07,ID,2021-10-03 15:46:57
68,Udachnyy,66.4167,112.4,29.59,65,100,5.55,RU,2021-10-03 15:46:57
69,Iqaluit,63.7506,-68.5145,37.13,74,75,0.0,CA,2021-10-03 15:46:57
70,Kahului,20.8947,-156.47,77.85,83,75,0.0,US,2021-10-03 15:46:58
71,Constitucion,-35.3333,-72.4167,58.19,48,0,16.84,CL,2021-10-03 15:46:58
72,Lompoc,34.6391,-120.4579,90.12,76,1,0.0,US,2021-10-03 15:46:58
73,Bengkulu,-3.8004,102.2655,76.64,91,89,6.71,ID,2021-10-03 15:46:41
74,Timbo,-26.8233,-49.2717,72.57,92,100,1.28,BR,2021-10-03 15:46:59
75,Bethel,41.3712,-73.414,74.48,74,1,0.0,US,2021-10-03 15:46:51
76,Hermanus,-34.4187,19.2345,60.8,64,55,9.6,ZA,2021-10-03 15:46:59
77,Sawtell,-30.3833,153.1,60.82,85,24,4.61,AU,2021-10-03 15:47:00
78,Bluefield,37.2698,-81.2223,72.63,85,90,3.0,US,2021-10-03 15:47:00
79,Manicore,-5.8092,-61.3003,96.53,38,62,4.16,BR,2021-10-03 15:47:01
80,Caravelas,-17.7125,-39.2481,84.24,60,2,13.44,BR,2021-10-03 15:47:01
81,Chokurdakh,70.6333,147.9167,23.25,96,100,9.91,RU,2021-10-03 15:47:01
82,La Romana,18.4273,-68.9728,73.13,80,100,6.96,DO,2021-10-03 15:45:07
83,Mahebourg,-20.4081,57.7,73.26,94,75,10.36,MU,2021-10-03 15:47:02
84,Contamana,-7.3333,-75.0167,96.44,38,14,4.63,PE,2021-10-03 15:47:02
85,Jaltenango,15.8719,-92.7247,78.93,71,88,3.58,MX,2021-10-03 15:47:03
86,Darovskoy,58.77,47.9564,43.81,89,100,2.55,RU,2021-10-03 15:47:03
87,Hasaki,35.7333,140.8333,63.28,81,0,8.39,JP,2021-10-03 15:47:04
88,Road Town,18.4167,-64.6167,87.89,66,40,11.5,VG,2021-10-03 15:47:04
89,Karratha,-20.7377,116.8463,72.32,59,0,12.41,AU,2021-10-03 15:46:39
90,Antofagasta,-23.65,-70.4,58.28,65,24,11.1,CL,2021-10-03 15:42:15
91,Kaitangata,-46.2817,169.8464,48.92,80,100,12.21,NZ,2021-10-03 15:47:05
92,Laguna,38.421,-121.4238,76.84,61,1,3.44,US,2021-10-03 15:47:05
93,Lincoln,40.8,-96.667,67.98,63,1,1.01,US,2021-10-03 15:42:31
94,Ribeira Grande,38.5167,-28.7,75.6,78,40,12.66,PT,2021-10-03 15:46:18
95,Tasiilaq,65.6145,-37.6368,39.36,53,0,7.36,GL,2021-10-03 15:47:05
96,Castro,-24.7911,-50.0119,63.01,98,100,5.79,BR,2021-10-03 15:47:06
97,Haines Junction,60.7522,-137.5108,31.95,93,100,4.61,CA,2021-10-03 15:47:06
